시설명,소재지지번주소,시설유형,위험시설지정고시번호,위험시설지정일자,위험시설지정사유,위험시설해제일자,위도,경도,연장,폭,관리기관전화번호,관리기관명,데이터기준일자
내덕마을진입로,전라북도 군산시 대야면 보덕리113-10,마을진입로,2016-170,2016-12-27,,,35.96670293,126.8307319,170,3,063-454-3865,전라북도 군산시청,2023-10-19
옥산리농로,전라북도 군산시 옥산면 옥산리512-45,농로,2016-170,2016-12-27,,,35.94488343,126.7372313,160,3,063-454-3865,전라북도 군산시청,2023-10-19
회현마을진입로,전라북도 군산시 회현면 대정리352-2,마을진입로,2016-170,2016-12-27,위험도평가점수 60점 미달,2022-07-29,35.91111171,126.7543635,160,3,063-454-3865,전라북도 군산시청,2023-10-19
쌍봉리2농로,전라북도 군산시 옥산면 쌍봉리916-13,농로,2016-170,2016-12-27,,,35.95730945,126.7370116,130,4,063-454-3865,전라북도 군산시청,2023-10-19
운회리농로,전라북도 군산시 개정면 운회리924-5,농로,2016-170,2016-12-27,위험도평가점수 60점 미달,2022-07-29,35.96853478,126.7766567,200,3,063-454-3865,전라북도 군산시청,2023-10-19
당북리농로,전라북도 군산시 옥산면 당북리572-1,농로,2016-170,2016-12-27,,,35.94103653,126.7228736,280,4,063-454-3865,전라북도 군산시청,2023-10-19
산곡마을진입로,전라북도 군산시 성산면 산곡리679,마을진입로,2016-170,2016-12-27,,,35.97900969,126.818298,230,4,063-454-3865,전라북도 군산시청,2023-10-19
쌍봉리1농로,전라북도 군산시 옥산면 쌍봉리243-1,농로,2016-170,2016-12-27,,,35.95470815,126.7528599,270,3,063-454-3865,전라북도 군산시청,2023-10-19
쌍봉리소교량,전라북도 군산시 옥산면 쌍봉리667-1,소교량,2016-170,2016-12-27,,,35.95484075,126.7534786,38,4,063-454-3865,전라북도 군산시청,2023-10-19
서수리소교량,전라북도 군산시 서수면 서수리1437,소교량,2016-170,2016-12-27,,,35.98693234,126.866042,10,3,063-454-3865,전라북도 군산시청,2023-10-19
아산마을진입로,전라북도 군산시 성산면 고봉리625-15,마을진입로,2016-170,2016-12-27,,,35.98175749,126.7910233,150,3,063-454-3865,전라북도 군산시청,2023-10-19
남내리농로,전라북도 군산시 옥산면 남내리578,농로,2016-170,2016-12-27,,,35.93679488,126.7619404,175,3,063-454-3865,전라북도 군산시청,2023-10-19
복교리농로,전라북도 군산시 대야면 복교리375-2,농로,2016-170,2016-12-27,위험도평가점수 60점 미달,2022-07-29,35.92187716,126.8366434,200,3,063-454-3865,전라북도 군산시청,2023-10-19
자골마을진입로,전라북도 군산시 회현면 고사리555-2,마을진입로,2016-170,2016-12-27,,,35.92141946,126.755842,180,3,063-454-3865,전라북도 군산시청,2023-10-19
복내소교량,전라북도 군산시 옥산면 쌍봉리334-2,소교량,2016-170,2016-12-27,위험도평가점수 60점 미달,2022-07-29,35.94748963,126.7607541,11,4,063-454-3865,전라북도 군산시청,2023-10-19
이곡리소교량,전라북도 군산시 옥구읍 이곡리664-2,소교량,2016-170,2016-12-27,위험도평가점수 60점 미달,2022-07-29,35.91778339,126.7051209,8,3,063-454-3865,전라북도 군산시청,2023-10-19
옥구마을진입로,전라북도 군산시 옥구읍 수산리1243,마을진입로,2016-170,2016-12-27,위험도평가점수 60점 미달,2022-07-29,35.90631412,126.6996246,260,3,063-454-3865,전라북도 군산시청,2023-10-19
대봉산소교량,전라북도 군산시 옥산면 쌍봉리440-2,소교량,2016-170,2016-12-27,위험도평가점수 60점 미달,2022-07-29,35.94404404,126.753515,11,4,063-454-3865,전라북도 군산시청,2023-10-19
옥석리농로,전라북도 군산시 개정면 옥석리844-2,농로,2016-170,2016-12-27,,,35.94137395,126.7930123,400,4,063-454-3865,전라북도 군산시청,2023-10-19
오곡리소교량,전라북도 군산시 옥구읍 오곡리972,소교량,2016-170,2016-12-27,,,35.91568804,126.7030389,16,3,063-454-3865,전라북도 군산시청,2023-10-19
성자마을진입로,전라북도 군산시 서수면 서수리564-1,마을진입로,2016-170,2016-12-27,위험도평가점수 60점 미달,2022-07-29,35.99231189,126.8745601,200,3,063-454-3865,전라북도 군산시청,2023-10-19
읍내리농로,전라북도 군산시 임피면 읍내리763,농로,2016-170,2016-12-27,,,35.98371835,126.8437214,120,3,063-454-3865,전라북도 군산시청,2023-10-19
구절마을진입로,전라북도 군산시 임피면 보석리1017,마을진입로,2016-170,2016-12-27,위험도평가점수 60점 미달,2022-07-29,35.9606931,126.8411301,60,3,063-454-3865,전라북도 군산시청,2023-10-19
