사고건수,사망자수,중상자수,경상자수,부상신고자수
974,3,224,1006,121
943,2,246,866,100
1014,11,250,1037,43
948,8,226,941,55
1534,12,367,1308,168
1288,8,298,1231,97
522,2,172,471,62
918,9,273,895,88
974,5,211,911,181
1065,10,246,1121,116
1606,15,359,1558,191
1274,12,260,1295,136
1998,20,424,2068,215
1217,7,260,1239,152
1172,9,285,1199,51
3709,16,685,4035,332
1151,7,302,1169,82
2581,9,623,2703,268
2264,8,441,2775,175
1165,8,263,1167,99
1401,10,383,1340,167
1384,6,311,1462,140
708,9,192,739,35
1044,6,235,938,93
844,9,204,873,75
357,3,100,351,28
445,4,136,461,45
539,4,175,579,48
298,2,122,279,11
1535,10,460,1505,151
819,7,234,767,52
711,10,217,636,43
447,4,131,442,32
817,6,267,794,87
916,7,331,809,73
816,11,222,799,84
765,18,288,765,47
646,4,174,620,56
717,3,213,672,68
579,10,215,482,30
475,10,135,552,41
4705,25,1037,5055,477
3599,27,850,3760,453
1683,13,299,1712,293
1134,15,328,1210,78
3457,18,652,3797,246
3685,22,855,4181,352
3508,56,795,3832,619
950,10,207,998,95
716,2,182,879,41
1123,14,249,1265,81
558,15,172,719,49
3230,43,769,3700,299
2372,22,570,2672,251
1673,27,447,1725,200
3588,37,859,3857,363
2178,12,406,2606,239
178,8,56,217,10
826,16,220,1061,55
400,3,103,538,34
490,15,175,528,48
1050,20,213,1268,126
3562,32,683,4296,498
896,17,264,1078,157
1933,11,464,2346,116
273,5,54,307,15
208,4,40,295,19
593,9,175,594,98
1970,24,558,2228,141
997,10,199,1025,194
300,10,79,371,21
1133,5,241,1243,145
1382,17,285,1508,377
1578,18,411,1940,76
310,6,93,376,7
712,14,194,840,12
413,5,189,464,11
228,3,35,312,14
209,8,80,209,0
268,9,83,360,53
152,10,52,191,10
149,8,91,116,40
196,13,79,258,17
158,3,58,181,7
113,1,44,131,3
87,4,34,112,15
79,5,17,84,6
89,5,42,90,19
146,2,70,175,0
156,8,53,226,10
4039,52,1085,4595,166
1053,28,324,1214,23
701,16,226,874,58
134,4,47,169,1
120,5,57,102,1
133,8,88,94,5
440,7,131,529,6
188,9,84,192,21
537,12,219,579,22
147,5,53,170,12
152,3,41,146,20
2937,47,627,3321,209
1267,21,356,1474,41
331,20,165,306,15
445,13,170,531,29
615,13,227,627,58
137,6,73,108,2
267,8,121,282,33
347,18,167,342,15
198,9,133,156,1
274,9,95,300,2
185,6,103,168,5
242,20,109,205,4
343,18,109,422,19
529,20,145,597,20
47,2,18,53,1
1918,26,457,2234,29
1167,25,243,1293,118
409,18,167,435,4
278,14,129,252,5
253,8,102,269,3
218,20,73,234,4
62,7,29,64,2
92,8,46,97,0
40,4,17,34,1
79,4,39,75,2
103,12,33,83,29
96,13,37,77,0
140,10,68,119,3
826,25,252,917,16
1373,17,238,1867,75
1384,13,332,1540,52
1154,23,289,1413,39
403,9,143,468,27
584,17,138,623,41
302,9,96,391,11
102,6,45,106,10
113,2,40,123,5
255,9,141,213,26
154,5,56,163,6
263,3,85,308,15
241,3,76,297,27
244,5,94,266,41
300,12,122,289,12
391,14,127,505,36
280,11,70,321,6
152,7,36,159,49
123,6,63,83,11
192,6,75,229,8
153,9,42,184,2
75,7,36,48,1
97,8,46,122,3
2203,27,628,2493,179
1206,35,503,1218,89
428,17,183,391,29
727,26,291,738,57
1652,29,516,1686,136
414,17,166,344,28
413,20,138,457,18
279,6,100,310,32
445,23,178,446,30
93,4,50,113,2
223,9,132,165,8
93,2,43,59,30
47,3,18,43,5
220,10,117,214,19
199,6,67,203,12
154,11,59,158,5
278,13,112,271,27
676,7,190,788,95
155,8,79,116,2
99,6,40,94,0
144,10,105,131,8
15,0,10,13,0
874,20,274,912,16
568,25,264,401,19
630,7,192,690,33
1924,23,732,1776,152
485,9,242,422,34
698,14,268,613,52
112,6,44,77,9
266,9,123,247,8
227,9,139,169,20
1232,18,355,1083,170
208,13,113,148,4
592,8,215,652,54
167,10,77,117,82
127,9,77,105,6
151,8,70,151,16
196,11,112,132,36
228,10,120,169,16
151,8,121,96,12
2649,61,828,2499,183
2790,39,667,2964,491
1249,14,400,1239,260
720,3,180,676,169
1522,8,343,1653,200
942,6,217,1002,94
643,3,134,705,59
1875,15,505,1918,238
2005,8,457,2178,256
2558,15,619,2775,141
837,10,248,915,39
462,11,111,535,21
113,0,33,123,2
1250,15,240,1331,99
1239,13,237,1243,81
1563,15,316,1812,103
1587,16,315,1853,38
644,5,158,694,18
613,7,105,738,13
198,10,68,199,6
26,3,9,31,1
571,6,100,688,43
1700,11,245,2251,118
2113,18,290,2759,152
2077,20,334,2701,129
661,3,119,772,21
947,14,216,1134,19
1024,5,221,1217,31
2302,9,470,2717,52
1645,13,336,2031,105
923,10,190,1056,55
603,4,181,649,50
1094,5,336,997,90
501,2,181,410,31
802,10,244,910,93
660,11,239,647,119
932,17,234,744,352
